id_venta,producto,precio_unitario,cantidad,fecha_venta,categoria,venta_neta,mes,nombre_mes
606,Cortinas,106.66,11,2024-01-05,Decoración,1173.26,1,January
704,Jarrón decorativo,57.22,9,2024-01-05,Decoración,514.98,1,January
1362,Heladera,109.49,11,2024-01-05,Electrodomésticos,1204.3899999999999,1,January
2155,Auriculares,84.8,10,2024-01-05,Electrónica,848.0,1,January
2947,Cámara digital,107.78,3,2024-01-05,Electrónica,323.34000000000003,1,January
1495,Lavadora,38.99,6,2024-01-06,Electrodomésticos,233.94,1,January
1572,Cafetera,61.4,9,2024-01-06,Electrodomésticos,552.6,1,January
2180,Consola de videojuegos,102.57,9,2024-01-06,Electrónica,923.1299999999999,1,January
2487,Cámara digital,50.76,3,2024-01-06,Electrónica,152.28,1,January
2603,Smartphone,87.05,5,2024-01-06,Electrónica,435.25,1,January
2885,Auriculares,100.4,6,2024-01-06,Electrónica,602.4000000000001,1,January
17,Elementos de cerámica,108.48,11,2024-01-07,Decoración,1193.28,1,January
183,Espejo decorativo,82.76,8,2024-01-07,Decoración,662.08,1,January
560,Adorno de pared,57.62,6,2024-01-07,Decoración,345.71999999999997,1,January
632,Cuadro decorativo,30.49,12,2024-01-07,Decoración,365.88,1,January
699,Candelabro,34.23,12,2024-01-07,Decoración,410.76,1,January
1150,Plancha de vapor,33.63,10,2024-01-07,Electrodomésticos,336.3,1,January
1400,Plancha de vapor,26.91,5,2024-01-07,Electrodomésticos,134.55,1,January
1496,Secadora,95.33,11,2024-01-07,Electrodomésticos,1048.6299999999999,1,January
1524,Aspiradora,65.55,8,2024-01-07,Electrodomésticos,524.4,1,January
1550,Plancha de vapor,51.51,7,2024-01-07,Electrodomésticos,360.57,1,January
2174,Auriculares,116.04,11,2024-01-07,Electrónica,1276.44,1,January
2773,Smartphone,107.51,5,2024-01-07,Electrónica,537.5500000000001,1,January
2920,Consola de videojuegos,29.49,2,2024-01-07,Electrónica,58.98,1,January
84,Jarrón decorativo,37.05,4,2024-01-08,Decoración,148.2,1,January
349,Candelabro,57.65,6,2024-01-08,Decoración,345.9,1,January
687,Elementos de cerámica,27.68,8,2024-01-08,Decoración,221.44,1,January
696,Cortinas,32.57,8,2024-01-08,Decoración,260.56,1,January
1734,Aspiradora,50.86,4,2024-01-08,Electrodomésticos,203.44,1,January
2173,Smartphone,54.19,12,2024-01-08,Electrónica,650.28,1,January
2283,Smartphone,70.07,11,2024-01-08,Electrónica,770.77,1,January
2501,Parlantes Bluetooth,87.78,1,2024-01-08,Electrónica,87.78,1,January
2918,SmartWatch,82.18,10,2024-01-08,Electrónica,821.8000000000001,1,January
386,Cortinas,85.71,8,2024-01-09,Decoración,685.68,1,January
599,Candelabro,47.22,5,2024-01-09,Decoración,236.1,1,January
633,Espejo decorativo,60.39,2,2024-01-09,Decoración,120.78,1,January
714,Jarrón decorativo,42.46,8,2024-01-09,Decoración,339.68,1,January
871,Lámpara de mesa,79.64,11,2024-01-09,Decoración,876.04,1,January
1132,Cafetera,29.88,10,2024-01-09,Electrodomésticos,298.8,1,January
1443,Microondas,67.39,8,2024-01-09,Electrodomésticos,539.12,1,January
1584,Aspiradora,99.58,7,2024-01-09,Electrodomésticos,697.06,1,January
1617,Horno eléctrico,68.53,8,2024-01-09,Electrodomésticos,548.24,1,January
1649,Batidora,39.26,11,2024-01-09,Electrodomésticos,431.85999999999996,1,January
2917,Cámara digital,120.87,7,2024-01-09,Electrónica,846.09,1,January
315,Alfombra,122.07,9,2024-01-10,Decoración,1098.6299999999999,1,January
553,Espejo decorativo,96.29,9,2024-01-10,Decoración,866.61,1,January
817,Elementos de cerámica,106.31,1,2024-01-10,Decoración,106.31,1,January
830,Adorno de pared,67.23,10,2024-01-10,Decoración,672.3000000000001,1,January
854,Jarrón decorativo,42.83,5,2024-01-10,Decoración,214.14999999999998,1,January
1090,Plancha de vapor,66.15,8,2024-01-10,Electrodomésticos,529.2,1,January
1464,Aspiradora,36.38,5,2024-01-10,Electrodomésticos,181.9,1,January
1933,Microondas,46.05,6,2024-01-10,Electrodomésticos,276.29999999999995,1,January
308,Rincón de plantas,31.7,11,2024-01-11,Decoración,348.7,1,January
718,Rincón de plantas,29.88,8,2024-01-11,Decoración,239.04,1,January
804,Jarrón decorativo,87.84,7,2024-01-11,Decoración,614.88,1,January
963,Espejo decorativo,32.34,5,2024-01-11,Decoración,161.70000000000002,1,January
1167,Horno eléctrico,119.7,6,2024-01-11,Electrodomésticos,718.2,1,January
1234,Aspiradora,36.89,7,2024-01-11,Electrodomésticos,258.23,1,January
1319,Batidora,79.98,12,2024-01-11,Electrodomésticos,959.76,1,January
1885,Lavadora,120.75,10,2024-01-11,Electrodomésticos,1207.5,1,January
2268,SmartWatch,48.45,2,2024-01-11,Electrónica,96.9,1,January
2325,Auriculares,117.43,11,2024-01-11,Electrónica,1291.73,1,January
2761,Parlantes Bluetooth,29.89,9,2024-01-11,Electrónica,269.01,1,January
243,Espejo decorativo,55.61,1,2024-01-12,Decoración,55.61,1,January
1441,Freidora eléctrica,52.57,11,2024-01-12,Electrodomésticos,578.27,1,January
2428,SmartWatch,115.0,10,2024-01-12,Electrónica,1150.0,1,January
2583,Smartphone,67.93,10,2024-01-12,Electrónica,679.3000000000001,1,January
2980,Consola de videojuegos,110.6,12,2024-01-12,Electrónica,1327.1999999999998,1,January
88,Rincón de plantas,109.33,9,2024-01-13,Decoración,983.97,1,January
501,Lámpara de mesa,35.2,6,2024-01-13,Decoración,211.20000000000002,1,January
507,Elementos de cerámica,111.1,1,2024-01-13,Decoración,111.1,1,January
669,Lámpara de mesa,96.79,5,2024-01-13,Decoración,483.95000000000005,1,January
987,Elementos de cerámica,102.62,3,2024-01-13,Decoración,307.86,1,January
1548,Cafetera,35.73,12,2024-01-13,Electrodomésticos,428.76,1,January
2822,Televisor,57.34,1,2024-01-13,Electrónica,57.34,1,January
2924,Tablet,32.3,1,2024-01-13,Electrónica,32.3,1,January
20,Adorno de pared,90.21,2,2024-01-14,Decoración,180.42,1,January
53,Espejo decorativo,115.45,7,2024-01-14,Decoración,808.15,1,January
608,Rincón de plantas,64.67,10,2024-01-14,Decoración,646.7,1,January
993,Espejo decorativo,98.26,1,2024-01-14,Decoración,98.26,1,January
1065,Lavadora,43.98,6,2024-01-14,Electrodomésticos,263.88,1,January
1599,Batidora,96.78,12,2024-01-14,Electrodomésticos,1161.3600000000001,1,January
1638,Cafetera,123.96,9,2024-01-14,Electrodomésticos,1115.6399999999999,1,January
1685,Lavadora,84.8,3,2024-01-14,Electrodomésticos,254.39999999999998,1,January
2685,Auriculares,27.36,10,2024-01-14,Electrónica,273.6,1,January
169,Lámpara de mesa,76.32,9,2024-01-15,Decoración,686.8799999999999,1,January
236,Cortinas,118.69,9,2024-01-15,Decoración,1068.21,1,January
260,Adorno de pared,101.48,9,2024-01-15,Decoración,913.32,1,January
977,Elementos de cerámica,74.35,5,2024-01-15,Decoración,371.75,1,January
1271,Freidora eléctrica,119.46,2,2024-01-15,Electrodomésticos,238.92,1,January
2098,SmartWatch,75.65,5,2024-01-15,Electrónica,378.25,1,January
2196,Laptop,31.69,1,2024-01-15,Electrónica,31.69,1,January
2590,Consola de videojuegos,99.14,6,2024-01-15,Electrónica,594.84,1,January
2788,SmartWatch,30.38,8,2024-01-15,Electrónica,243.04,1,January
2803,Smartphone,95.73,5,2024-01-15,Electrónica,478.65000000000003,1,January
2874,Tablet,117.47,2,2024-01-15,Electrónica,234.94,1,January
113,Espejo decorativo,75.93,10,2024-01-16,Decoración,759.3000000000001,1,January
503,Espejo decorativo,101.91,3,2024-01-16,Decoración,305.73,1,January
832,Cuadro decorativo,30.59,1,2024-01-16,Decoración,30.59,1,January
962,Cuadro decorativo,40.97,11,2024-01-16,Decoración,450.66999999999996,1,January
1250,Plancha de vapor,98.55,6,2024-01-16,Electrodomésticos,591.3,1,January
1431,Freidora eléctrica,83.95,8,2024-01-16,Electrodomésticos,671.6,1,January
1920,Plancha de vapor,86.65,6,2024-01-16,Electrodomésticos,519.9000000000001,1,January
2129,Proyector,107.98,6,2024-01-16,Electrónica,647.88,1,January
2220,Consola de videojuegos,31.57,1,2024-01-16,Electrónica,31.57,1,January
2477,Cámara digital,38.37,9,2024-01-16,Electrónica,345.33,1,January
2789,Proyector,115.19,11,2024-01-16,Electrónica,1267.09,1,January
2935,Auriculares,80.29,2,2024-01-16,Electrónica,160.58,1,January
131,Lámpara de mesa,58.32,10,2024-01-17,Decoración,583.2,1,January
178,Rincón de plantas,81.5,1,2024-01-17,Decoración,81.5,1,January
368,Rincón de plantas,87.4,9,2024-01-17,Decoración,786.6,1,January
684,Jarrón decorativo,106.89,6,2024-01-17,Decoración,641.34,1,January
1750,Plancha de vapor,94.53,2,2024-01-17,Electrodomésticos,189.06,1,January
2284,Tablet,69.35,4,2024-01-17,Electrónica,277.4,1,January
2402,Televisor,117.53,9,2024-01-17,Electrónica,1057.77,1,January
2698,SmartWatch,76.47,7,2024-01-17,Electrónica,535.29,1,January
430,Adorno de pared,81.76,5,2024-01-18,Decoración,408.8,1,January
588,Rincón de plantas,80.17,3,2024-01-18,Decoración,240.51,1,January
1626,Secadora,102.73,6,2024-01-18,Electrodomésticos,616.38,1,January
1900,Plancha de vapor,45.14,1,2024-01-18,Electrodomésticos,45.14,1,January
2119,Proyector,84.1,11,2024-01-18,Electrónica,925.0999999999999,1,January
2244,Auriculares,63.67,5,2024-01-18,Electrónica,318.35,1,January
2297,Cámara digital,119.43,5,2024-01-18,Electrónica,597.1500000000001,1,January
2416,Laptop,81.74,10,2024-01-18,Electrónica,817.4,1,January
2431,Parlantes Bluetooth,69.4,1,2024-01-18,Electrónica,69.4,1,January
2792,Televisor,84.96,5,2024-01-18,Electrónica,424.79999999999995,1,January
30,Adorno de pared,76.92,6,2024-01-19,Decoración,461.52,1,January
49,Lámpara de mesa,52.95,6,2024-01-19,Decoración,317.70000000000005,1,January
104,Jarrón decorativo,103.13,8,2024-01-19,Decoración,825.04,1,January
323,Espejo decorativo,123.21,7,2024-01-19,Decoración,862.4699999999999,1,January
395,Alfombra,33.48,12,2024-01-19,Decoración,401.76,1,January
851,Lámpara de mesa,85.23,6,2024-01-19,Decoración,511.38,1,January
1125,Lavadora,97.73,12,2024-01-19,Electrodomésticos,1172.76,1,January
1332,Cafetera,98.21,11,2024-01-19,Electrodomésticos,1080.31,1,January
1806,Secadora,27.45,10,2024-01-19,Electrodomésticos,274.5,1,January
2231,Parlantes Bluetooth,42.98,7,2024-01-19,Electrónica,300.85999999999996,1,January
401,Lámpara de mesa,69.47,8,2024-01-20,Decoración,555.76,1,January
788,Rincón de plantas,85.75,3,2024-01-20,Decoración,257.25,1,January
1007,Horno eléctrico,98.42,8,2024-01-20,Electrodomésticos,787.36,1,January
1489,Batidora,95.59,3,2024-01-20,Electrodomésticos,286.77,1,January
2187,Cámara digital,108.61,2,2024-01-20,Electrónica,217.22,1,January
2588,SmartWatch,83.01,11,2024-01-20,Electrónica,913.11,1,January
2721,Parlantes Bluetooth,40.74,6,2024-01-20,Electrónica,244.44,1,January
2897,Cámara digital,71.45,5,2024-01-20,Electrónica,357.25,1,January
2987,Cámara digital,91.13,8,2024-01-20,Electrónica,729.04,1,January
59,Lámpara de mesa,121.72,8,2024-01-21,Decoración,973.76,1,January
754,Jarrón decorativo,91.53,12,2024-01-21,Decoración,1098.3600000000001,1,January
1117,Horno eléctrico,103.57,1,2024-01-21,Electrodomésticos,103.57,1,January
1140,Plancha de vapor,27.61,7,2024-01-21,Electrodomésticos,193.26999999999998,1,January
1145,Lavadora,67.2,11,2024-01-21,Electrodomésticos,739.2,1,January
1286,Secadora,84.5,11,2024-01-21,Electrodomésticos,929.5,1,January
1754,Aspiradora,104.86,8,2024-01-21,Electrodomésticos,838.88,1,January
1882,Cafetera,51.16,12,2024-01-21,Electrodomésticos,613.92,1,January
2560,Consola de videojuegos,87.23,5,2024-01-21,Electrónica,436.15000000000003,1,January
442,Cuadro decorativo,29.17,1,2024-01-22,Decoración,29.17,1,January
547,Elementos de cerámica,83.81,6,2024-01-22,Decoración,502.86,1,January
984,Jarrón decorativo,26.97,5,2024-01-22,Decoración,134.85,1,January
1106,Secadora,91.54,2,2024-01-22,Electrodomésticos,183.08,1,January
1808,Cafetera,45.98,3,2024-01-22,Electrodomésticos,137.94,1,January
1981,Freidora eléctrica,48.68,8,2024-01-22,Electrodomésticos,389.44,1,January
80,Adorno de pared,51.56,5,2024-01-23,Decoración,257.8,1,January
189,Lámpara de mesa,26.42,2,2024-01-23,Decoración,52.84,1,January
839,Lámpara de mesa,96.37,5,2024-01-23,Decoración,481.85,1,January
947,Elementos de cerámica,117.34,1,2024-01-23,Decoración,117.34,1,January
1592,Cafetera,86.79,3,2024-01-23,Electrodomésticos,260.37,1,January
2690,Consola de videojuegos,102.4,2,2024-01-23,Electrónica,204.8,1,January
39,Lámpara de mesa,57.35,12,2024-01-24,Decoración,688.2,1,January
164,Jarrón decorativo,66.27,1,2024-01-24,Decoración,66.27,1,January
196,Cortinas,90.87,4,2024-01-24,Decoración,363.48,1,January
768,Rincón de plantas,89.47,2,2024-01-24,Decoración,178.94,1,January
1515,Lavadora,108.37,1,2024-01-24,Electrodomésticos,108.37,1,January
1786,Secadora,40.63,3,2024-01-24,Electrodomésticos,121.89000000000001,1,January
1977,Horno eléctrico,45.79,7,2024-01-24,Electrodomésticos,320.53,1,January
2354,Tablet,27.98,8,2024-01-24,Electrónica,223.84,1,January
2543,Smartphone,91.39,7,2024-01-24,Electrónica,639.73,1,January
2623,Smartphone,27.32,7,2024-01-24,Electrónica,191.24,1,January
2982,Televisor,26.7,9,2024-01-24,Electrónica,240.29999999999998,1,January
85,Alfombra,71.14,2,2024-01-25,Decoración,142.28,1,January
983,Espejo decorativo,123.22,10,2024-01-25,Decoración,1232.2,1,January
1378,Cafetera,96.94,4,2024-01-25,Electrodomésticos,387.76,1,January
1485,Lavadora,66.16,4,2024-01-25,Electrodomésticos,264.64,1,January
1503,Microondas,39.45,9,2024-01-25,Electrodomésticos,355.05,1,January
2121,Parlantes Bluetooth,100.6,6,2024-01-25,Electrónica,603.5999999999999,1,January
2340,Consola de videojuegos,109.68,5,2024-01-25,Electrónica,548.4000000000001,1,January
2502,Televisor,77.83,8,2024-01-25,Electrónica,622.64,1,January
2619,Proyector,70.1,10,2024-01-25,Electrónica,701.0,1,January
2735,Auriculares,93.37,10,2024-01-25,Electrónica,933.7,1,January
2948,SmartWatch,29.15,2,2024-01-25,Electrónica,58.3,1,January
73,Espejo decorativo,52.58,9,2024-01-26,Decoración,473.21999999999997,1,January
621,Lámpara de mesa,70.6,6,2024-01-26,Decoración,423.59999999999997,1,January
787,Elementos de cerámica,106.39,6,2024-01-26,Decoración,638.34,1,January
933,Espejo decorativo,110.02,1,2024-01-26,Decoración,110.02,1,January
1768,Cafetera,120.32,9,2024-01-26,Electrodomésticos,1082.8799999999999,1,January
2252,Televisor,89.27,8,2024-01-26,Electrónica,714.16,1,January
2305,Auriculares,31.03,9,2024-01-26,Electrónica,279.27,1,January
218,Rincón de plantas,120.32,1,2024-01-27,Decoración,120.32,1,January
310,Adorno de pared,103.79,2,2024-01-27,Decoración,207.58,1,January
496,Cortinas,37.02,5,2024-01-27,Decoración,185.10000000000002,1,January
1360,Plancha de vapor,95.1,2,2024-01-27,Electrodomésticos,190.2,1,January
1744,Aspiradora,28.79,12,2024-01-27,Electrodomésticos,345.48,1,January
1877,Horno eléctrico,53.46,4,2024-01-27,Electrodomésticos,213.84,1,January
2165,Auriculares,47.24,9,2024-01-27,Electrónica,425.16,1,January
2218,SmartWatch,54.84,1,2024-01-27,Electrónica,54.84,1,January
2222,Televisor,33.19,9,2024-01-27,Electrónica,298.71,1,January
2546,Laptop,30.31,2,2024-01-27,Electrónica,60.62,1,January
617,Elementos de cerámica,28.22,4,2024-01-28,Decoración,112.88,1,January
641,Lámpara de mesa,95.46,10,2024-01-28,Decoración,954.5999999999999,1,January
912,Cuadro decorativo,111.56,9,2024-01-28,Decoración,1004.04,1,January
1999,Batidora,103.27,3,2024-01-28,Electrodomésticos,309.81,1,January
2323,Smartphone,34.5,1,2024-01-28,Electrónica,34.5,1,January
2636,Laptop,33.07,10,2024-01-28,Electrónica,330.7,1,January
2693,Smartphone,115.81,1,2024-01-28,Electrónica,115.81,1,January
373,Espejo decorativo,29.77,11,2024-01-29,Decoración,327.46999999999997,1,January
1452,Cafetera,88.56,8,2024-01-29,Electrodomésticos,708.48,1,January
1645,Lavadora,76.5,3,2024-01-29,Electrodomésticos,229.5,1,January
2228,SmartWatch,100.06,7,2024-01-29,Electrónica,700.4200000000001,1,January
2240,Consola de videojuegos,43.35,8,2024-01-29,Electrónica,346.8,1,January
2245,Auriculares,53.45,8,2024-01-29,Electrónica,427.6,1,January
2653,Smartphone,121.22,6,2024-01-29,Electrónica,727.3199999999999,1,January
2870,Consola de videojuegos,72.39,1,2024-01-29,Electrónica,72.39,1,January
2938,SmartWatch,122.68,1,2024-01-29,Electrónica,122.68,1,January
2953,Smartphone,121.0,12,2024-01-29,Electrónica,1452.0,1,January
1046,Secadora,109.0,11,2024-01-30,Electrodomésticos,1199.0,1,January
1886,Secadora,47.91,1,2024-01-30,Electrodomésticos,47.91,1,January
1965,Lavadora,43.52,7,2024-01-30,Electrodomésticos,304.64000000000004,1,January
2005,Auriculares,56.56,4,2024-01-30,Electrónica,226.24,1,January
2273,Smartphone,59.33,2,2024-01-30,Electrónica,118.66,1,January
2522,Televisor,94.98,2,2024-01-30,Electrónica,189.96,1,January
2784,Tablet,41.96,9,2024-01-30,Electrónica,377.64,1,January
2945,Auriculares,115.2,1,2024-01-30,Electrónica,115.2,1,January
50,Adorno de pared,83.1,5,2024-01-31,Decoración,415.5,1,January
162,Cuadro decorativo,59.6,5,2024-01-31,Decoración,298.0,1,January
259,Lámpara de mesa,78.89,11,2024-01-31,Decoración,867.79,1,January
277,Elementos de cerámica,52.17,7,2024-01-31,Decoración,365.19,1,January
852,Cuadro decorativo,78.93,4,2024-01-31,Decoración,315.72,1,January
1185,Lavadora,92.36,1,2024-01-31,Electrodomésticos,92.36,1,January
1210,Plancha de vapor,101.96,10,2024-01-31,Electrodomésticos,1019.5999999999999,1,January
1254,Aspiradora,74.11,11,2024-01-31,Electrodomésticos,815.21,1,January
1481,Freidora eléctrica,121.77,12,2024-01-31,Electrodomésticos,1461.24,1,January
1898,Cafetera,63.54,9,2024-01-31,Electrodomésticos,571.86,1,January
2185,Auriculares,35.74,11,2024-01-31,Electrónica,393.14000000000004,1,January
2752,Auriculares,119.77,5,2024-01-31,Electrónica,598.85,1,January
2916,Laptop,93.91,2,2024-01-31,Electrónica,187.82,1,January
733,Espejo decorativo,44.37,2,2024-02-01,Decoración,88.74,2,February
848,Rincón de plantas,81.92,10,2024-02-01,Decoración,819.2,2,February
1102,Cafetera,108.33,2,2024-02-01,Electrodomésticos,216.66,2,February
1764,Aspiradora,112.38,10,2024-02-01,Electrodomésticos,1123.8,2,February
1813,Microondas,89.16,5,2024-02-01,Electrodomésticos,445.79999999999995,2,February
2069,Proyector,76.17,12,2024-02-01,Electrónica,914.04,2,February
2474,Auriculares,123.41,8,2024-02-01,Electrónica,987.28,2,February
2680,Consola de videojuegos,89.96,2,2024-02-01,Electrónica,179.92,2,February
380,Adorno de pared,45.84,10,2024-02-02,Decoración,458.40000000000003,2,February
557,Elementos de cerámica,108.86,6,2024-02-02,Decoración,653.16,2,February
828,Rincón de plantas,27.95,7,2024-02-02,Decoración,195.65,2,February
829,Lámpara de mesa,41.6,12,2024-02-02,Decoración,499.20000000000005,2,February
1600,Plancha de vapor,47.6,10,2024-02-02,Electrodomésticos,476.0,2,February
2079,Proyector,111.74,6,2024-02-02,Electrónica,670.4399999999999,2,February
2115,Auriculares,26.0,9,2024-02-02,Electrónica,234.0,2,February
2133,Smartphone,88.43,2,2024-02-02,Electrónica,176.86,2,February
2329,Proyector,62.88,7,2024-02-02,Electrónica,440.16,2,February
2476,Laptop,109.23,7,2024-02-02,Electrónica,764.61,2,February
2548,SmartWatch,108.99,10,2024-02-02,Electrónica,1089.8999999999999,2,February
211,Lámpara de mesa,30.03,8,2024-02-03,Decoración,240.24,2,February
541,Lámpara de mesa,76.33,10,2024-02-03,Decoración,763.3,2,February
695,Alfombra,51.29,2,2024-02-03,Decoración,102.58,2,February
1336,Secadora,42.81,7,2024-02-03,Electrodomésticos,299.67,2,February
1499,Batidora,77.53,4,2024-02-03,Electrodomésticos,310.12,2,February
2007,Cámara digital,117.11,9,2024-02-03,Electrónica,1053.99,2,February
2068,SmartWatch,49.23,4,2024-02-03,Electrónica,196.92,2,February
2758,SmartWatch,81.32,6,2024-02-03,Electrónica,487.91999999999996,2,February
2851,Parlantes Bluetooth,110.42,2,2024-02-03,Electrónica,220.84,2,February
64,Jarrón decorativo,104.16,10,2024-02-04,Decoración,1041.6,2,February
763,Espejo decorativo,117.99,3,2024-02-04,Decoración,353.96999999999997,2,February
1424,Aspiradora,69.31,10,2024-02-04,Electrodomésticos,693.1,2,February
1455,Lavadora,38.61,10,2024-02-04,Electrodomésticos,386.1,2,February
1456,Secadora,84.24,3,2024-02-04,Electrodomésticos,252.71999999999997,2,February
2315,Auriculares,109.07,4,2024-02-04,Electrónica,436.28,2,February
2832,Televisor,49.23,4,2024-02-04,Electrónica,196.92,2,February
24,Jarrón decorativo,70.51,12,2024-02-05,Decoración,846.1200000000001,2,February
40,Adorno de pared,100.32,10,2024-02-05,Decoración,1003.1999999999999,2,February
347,Elementos de cerámica,83.52,12,2024-02-05,Decoración,1002.24,2,February
911,Lámpara de mesa,33.9,4,2024-02-05,Decoración,135.6,2,February
1451,Freidora eléctrica,48.52,4,2024-02-05,Electrodomésticos,194.08,2,February
1855,Lavadora,123.28,8,2024-02-05,Electrodomésticos,986.24,2,February
1961,Freidora eléctrica,81.99,1,2024-02-05,Electrodomésticos,81.99,2,February
2378,SmartWatch,72.38,1,2024-02-05,Electrónica,72.38,2,February
2426,Laptop,47.57,4,2024-02-05,Electrónica,190.28,2,February
1064,Aspiradora,65.0,9,2024-02-06,Electrodomésticos,585.0,2,February
1313,Microondas,82.58,9,2024-02-06,Electrodomésticos,743.22,2,February
1848,Cafetera,123.27,4,2024-02-06,Electrodomésticos,493.08,2,February
2267,Cámara digital,57.81,10,2024-02-06,Electrónica,578.1,2,February
2438,SmartWatch,45.98,3,2024-02-06,Electrónica,137.94,2,February
2566,Laptop,70.59,9,2024-02-06,Electrónica,635.3100000000001,2,February
2617,Cámara digital,89.53,9,2024-02-06,Electrónica,805.77,2,February
2627,Cámara digital,102.83,5,2024-02-06,Electrónica,514.15,2,February
381,Lámpara de mesa,124.57,3,2024-02-07,Decoración,373.71,2,February
393,Espejo decorativo,122.11,7,2024-02-07,Decoración,854.77,2,February
662,Cuadro decorativo,42.09,12,2024-02-07,Decoración,505.08000000000004,2,February
770,Adorno de pared,103.74,5,2024-02-07,Decoración,518.6999999999999,2,February
895,Alfombra,102.72,2,2024-02-07,Decoración,205.44,2,February
1340,Plancha de vapor,48.48,10,2024-02-07,Electrodomésticos,484.79999999999995,2,February
1422,Cafetera,109.97,2,2024-02-07,Electrodomésticos,219.94,2,February
1554,Aspiradora,124.82,3,2024-02-07,Electrodomésticos,374.46,2,February
2584,Auriculares,42.67,6,2024-02-07,Electrónica,256.02,2,February
163,Espejo decorativo,30.11,12,2024-02-08,Decoración,361.32,2,February
367,Elementos de cerámica,47.0,2,2024-02-08,Decoración,94.0,2,February
745,Alfombra,50.02,12,2024-02-08,Decoración,600.24,2,February
850,Adorno de pared,112.03,9,2024-02-08,Decoración,1008.27,2,February
971,Lámpara de mesa,79.91,8,2024-02-08,Decoración,639.28,2,February
1501,Freidora eléctrica,58.69,4,2024-02-08,Electrodomésticos,234.76,2,February
1529,Batidora,79.14,10,2024-02-08,Electrodomésticos,791.4,2,February
2618,SmartWatch,64.98,11,2024-02-08,Electrónica,714.7800000000001,2,February
809,Lámpara de mesa,58.38,4,2024-02-09,Decoración,233.52,2,February
1371,Freidora eléctrica,95.71,4,2024-02-09,Electrodomésticos,382.84,2,February
1791,Freidora eléctrica,51.37,9,2024-02-09,Electrodomésticos,462.33,2,February
2294,Auriculares,54.54,9,2024-02-09,Electrónica,490.86,2,February
2668,SmartWatch,97.01,4,2024-02-09,Electrónica,388.04,2,February
2718,SmartWatch,110.23,11,2024-02-09,Electrónica,1212.53,2,February
135,Alfombra,78.47,1,2024-02-10,Decoración,78.47,2,February
212,Cuadro decorativo,52.83,12,2024-02-10,Decoración,633.96,2,February
229,Lámpara de mesa,99.71,3,2024-02-10,Decoración,299.13,2,February
737,Elementos de cerámica,116.82,3,2024-02-10,Decoración,350.46,2,February
840,Adorno de pared,91.48,9,2024-02-10,Decoración,823.32,2,February
949,Lámpara de mesa,87.04,1,2024-02-10,Decoración,87.04,2,February
1294,Aspiradora,26.11,9,2024-02-10,Electrodomésticos,234.99,2,February
1436,Secadora,45.43,11,2024-02-10,Electrodomésticos,499.73,2,February
1696,Secadora,115.57,12,2024-02-10,Electrodomésticos,1386.84,2,February
2013,Smartphone,49.34,12,2024-02-10,Electrónica,592.08,2,February
2203,Smartphone,59.33,5,2024-02-10,Electrónica,296.65,2,February
2873,Smartphone,74.8,5,2024-02-10,Electrónica,374.0,2,February
2973,Smartphone,97.62,1,2024-02-10,Electrónica,97.62,2,February
43,Espejo decorativo,81.16,2,2024-02-11,Decoración,162.32,2,February
205,Alfombra,108.67,4,2024-02-11,Decoración,434.68,2,February
417,Elementos de cerámica,35.97,2,2024-02-11,Decoración,71.94,2,February
462,Cuadro decorativo,109.69,8,2024-02-11,Decoración,877.52,2,February
